name,waiver_deadline,trade_deadline,championship_date
College Football,15-11-17,15-11-17,16-01-11
NFL,15-12-15,15-12-15,16-02-07
College Basketball,16-03-15,16-03-16,16-04-04
College Hockey,16-03-19,16-03-24,16-04-09
Kentucky Derby,16-05-07,16-05-07,16-05-07
Champions League,15-12-10,16-03-03,16-05-28
NHL,16-03-27,16-03-27,16-06-07
NBA,16-03-27,16-03-27,16-06-15
PGA,16-06-10,16-07-08,16-08-14
Steeplechase,16-08-11,16-08-11,16-08-17
LLWS,16-08-17,16-08-17,16-08-28
Men's Tennis,16-05-15,16-06-19,16-08-21
Women's Tennis,16-05-15,16-06-19,16-08-21
MLB,16-08-28,16-08-28,16-10-31
